,,,,,,
Name,Age,Gender,Married,Job,Annual Income,Did he accept the credit card
Michael,35,Male,Yes,Captain,35862,Yes
Christopher,66,Female,Yes,Doctor,13339,Yes
Jessica,23,Female,No,Engineer,25359,No
Matthew,22,Female,Yes,Worker,66530,No
Ashley,40,Female,Yes,Judge,31238,No
Jennifer,58,Male,No,tailor,34808,No
Joshua,33,Female,No,Accountant,29330,Yes
Amanda,47,Female,Yes,Teacher,57606,Yes
Daniel,27,Male,No,Doctor,37818,Yes
David,72,Female,No,Accountant,26049,No
James,44,Female,No,Doctor,57519,No
Robert,48,Male,Yes,tailor,64446,No
John,31,Male,Yes,tailor,50423,No
Joseph,50,Female,Yes,tailor,49443,No
Andrew,59,Male,No,Painter,38942,Yes
Ryan,64,Female,No,Judge,60896,No
Brandon,60,Female,No,Worker,53578,Yes
Jason,69,Male,No,Doctor,64877,No
Justin,32,Male,Yes,Captain,45521,No
Sarah,55,Female,Yes,Accountant,47689,Yes
William,38,Male,Yes,Engineer,21520,Yes
Jonathan,18,Female,Yes,Accountant,49974,No
Stephanie,71,Male,Yes,Worker,63974,Yes
Brian,21,Female,No,Engineer,28498,No
Nicole,41,Female,Yes,Worker,45466,Yes
Nicholas,42,Female,No,Accountant,26207,No
Anthony,26,Female,Yes,Judge,68249,No
Heather,20,Female,Yes,Captain,35799,Yes
Eric,52,Male,Yes,Teacher,47935,No
Elizabeth,62,Female,Yes,Worker,49046,No
Adam,29,Female,Yes,tailor,55409,Yes
Megan,67,Male,Yes,Captain,58256,No
Melissa,39,Male,Yes,Teacher,26387,No
Kevin,17,Female,Yes,tailor,30800,Yes
Steven,63,Female,Yes,Judge,60115,No
Thomas,57,Female,No,tailor,56069,Yes
Timothy,65,Male,Yes,Judge,32718,No
Christina,49,Female,No,Captain,53246,No
Kyle,53,Female,No,Accountant,66610,Yes
Rachel,68,Male,Yes,Doctor,41773,Yes
Laura,54,Male,No,Captain,66203,No
Lauren,43,Female,Yes,Pilot,57242,Yes
Amber,36,Male,No,Teacher,63528,Yes
Brittany,28,Female,No,Worker,50793,No
Danielle,45,Male,No,Accountant,51109,Yes
Richard,19,Male,Yes,Accountant,19820,No
Kimberly,37,Female,No,Accountant,59024,No
Jeffrey,51,Female,Yes,Captain,19177,Yes
